title,summary,publication_date,source,url,category
"Victims of Swedish school shooting were seven women and three men, police say","The victims of Sweden's worst mass shooting were seven women and three men aged between 28 and 68, police said on Friday after completing the identification process. They were killed at an adult education centre in the city of Orebro on Tuesday, about 125 miles (200km) from Stockholm, in an attack that has sent shockwaves through Sweden. All of the victims lived in Orebro, but so far authorities have declined to share their identities or any other details about them. Police also confirmed on Friday that the suspected gunman was a 35-year-old man from the area.",2025-02-07,BBC,https://www.bbc.com/news/articles/cr7epd3mz0ro,mass shooting
Ecuador chooses president against backdrop of gang violence,"""The entire town feels like it is in a pandemic, locked up without being able to go out and enjoy our lives due to violence."" That is how ""Jorge"" - not his real name - feels about his neighbourhood of Guayaquil, a city in southern Ecuador. His father, Marcos Elías León Maruri, was kidnapped there by the Los Tiguerones gang. A person is killed every two hours in Ecuador and seven are kidnapped daily, according to government figures. That's why security is the top issue for voters ahead of the first round of the presidential election on Sunday, in which incumbent Daniel Noboa is being challenged by 15 other candidates.",2025-02-07,BBC,https://www.bbc.com/news/articles/cg7zpr7779go,crime
Trump says he is revoking Biden's security clearance,"US President Donald Trump has said he is revoking Joe Biden's security clearance and access to daily intelligence briefings, after his predecessor did the same to him four years ago. ""There is no need for Joe Biden to continue receiving access to classified information,"" Trump wrote in a post on his Truth Social platform. ""JOE, YOU'RE FIRED,"" the Republican added in a reference to his catchphrase on the reality TV show, The Apprentice. Trump has already revoked the security clearance of more than four dozen former intelligence officials whom he accused of meddling in the 2020 election in Biden's favour.",2025-02-08,BBC,https://www.bbc.com/news/articles/cn57p5r99xyo,politics
Santorini earthquake: Tourists flee but resilient locals stay,"On a calm summer day on Santorini in July 1956, the ground turned against its people. ""I remember our dog and bird acting strangely. Then, the earthquake struck,"" 83-year-old Eirini Mindrinou recalls, her voice steady but distant, as if trying to grasp a memory that never truly faded. ""The house split open before closing again.",2025-02-08,BBC,https://www.bbc.com/news/articles/c8059mny2g3o,natural disaster
Woman evicted from NHS hospital ward after being stuck for 18 months ,"""I feel very angry, upset, worthless, and like my mental health and my life does not matter,"" says Jessie, propped up in a hospital bed. She is recording this in a video diary. Blue NHS curtains are drawn around the bed and all her possessions are stacked up in the tiny chaotic space this creates. Among the piles of boxes and bags sit the dolls she holds to keep her calm.",2025-02-08,BBC,https://www.bbc.com/news/articles/c897ew0ekp4o,mental health
Delhi election results: Modi's BJP leads in high-stakes contest,"Prime Minister Narendra Modi's party looks set to form the government in the Indian capital Delhi as votes are counted after a tightly-fought election. The Bharatiya Janata Party (BJP) is leading in 48 seats in the 70-member legislative assembly, while the incumbent Aam Aadmi Party (AAP) is ahead in 22 seats, according to data from the Election Commission of India (EC). A party that wins more than the halfway mark of 35 seats can form the government. The election was a battle of prestige for both the BJP and AAP, given Delhi's symbolic importance as the country's capital.",2025-02-08,BBC,https://www.bbc.com/news/articles/c203ql5l8zyo,politics
Stars join King Charles for Italian-themed dinner,"King Charles and Queen Camilla have hosted an Italian-themed dinner with dishes including crab, ravioli and pork, along with English and Italian wine. Friday's dinner, with guests including David and Victoria Beckham, Dame Helen Mirren and Donatella Versace, was a culinary warm-up for the royal couple's state visit to Italy and the Vatican in early April, where they will meet Pope Francis. The trip is expected to coincide with Charles and Camilla's 20th wedding anniversary and the King told dinner guests about his love of Italian food and culture. ""Good food brings people together and what we choose to eat helps to define us - as families, communities and nations,"" said the King.",2025-02-08,BBC,https://www.bbc.com/news/articles/czxk227wgq7o,royalty
Ukraine says North Korean troops back on front line,"Ukraine's president says North Korean forces have returned to the front line in Russia's western Kursk region, after reports they were withdrawn last month due to heavy casualties. In a video address on Friday, Volodymyr Zelensky said the Russian army had ""brought back in North Korean soldiers"" who were carrying out ""new assaults"" in the region partially occupied by Ukraine. He added ""hundreds of Russian and North Korean military"" personnel had been ""destroyed"". In January, Western officials told the BBC they believed at least 1,000 of the 11,000 troops sent from North Korea had been killed in the past three months.",2025-02-07,BBC,https://www.bbc.com/news/articles/cednp7q41l2o,international relations
Sudan civil war: Army advances as it seek to recapture Khartoum,"Residents of Sudan's capital Khartoum say the army has recaptured large parts of the city from RSF paramilitaries, marking its biggest victory in a year. ""Shrapnel and stray ammunition are falling on my neighbourhood,"" a doctor we are calling Mustafa tells the BBC. ""The clashes these days are heavy"". Key sites recaptured by the army this week include the mint – where money is printed.",2025-02-07,BBC,https://www.bbc.com/news/articles/cq5gp74nqn6o,conflict
"DR Congo crisis: What roles are Rwanda, Burundi, Uganda playing?","The seizure by M23 rebels of vast tracts of land in the mineral-rich east of the Democratic Republic of Congo has triggered a humanitarian and diplomatic crisis, involving several neighbouring countries. An alarming number of African armies already have troops deployed in the conflict zone, which has a long history of outside interference. The DR Congo is so vast - two-thirds the size of Western Europe - that it is a member of both the East and Southern African blocs. The two regional groupings are joining forces to hold an emergency summit on Saturday to try and end the fighting.",2025-02-08,BBC,https://www.bbc.com/news/articles/cp8qp6p39e9o,conflict
What is USAID and why does Donald Trump want to end it?,"The future of the US government's main overseas aid agency has been cast into doubt, with employees locked out and the Trump administration planning to merge it with the US Department of State. The United States Agency for International Development (USAID) said thousands of employees would be put on leave shortly after President Donald Trump returned to office. The agency then recalled its workers from missions across the world. Trump has made it clear he wants overseas spending to be closely aligned with his ""America First"" approach and the international development sector is braced for a profound effect on humanitarian programmes around the world.",2025-02-07,BBC,https://www.bbc.com/news/articles/clyezjwnx5ko,politics
Diddy: New allegations rapper assaulted minor in nightclub,"New allegations against Sean ""Diddy"" Combs have surfaced, with a man accusing the imprisoned rapper of drugging and raping him in a New York nightclub in 2012. According to a court filing, the man who was 17 at the time, paid a bouncer to enter the club and was invited to Combs' private table, where he was given multiple shots of vodka. The plaintiff claims that after consuming the drinks, he ""began to become hazy and disoriented"" and felt himself ""losing consciousness and control of his body"". Combs has consistently denied the allegations made against him in a number of civil lawsuits, and has previously labelled them ""sickening"".",2025-02-07,BBC,https://www.bbc.com/news/articles/cpwxpvp4yrdo,crime
Myanmar's Shwe Kokko: Inside a city 'built on scams',"The tall, shiny buildings which rise out of the cornfields on the Myanmar side of the Moei river are a sight so jarring you find yourself blinking to be sure you haven't imagined it. Eight years ago there was nothing over there in Karen State. Just trees, a few roughly built cement buildings, and a long-running civil war which has left this area of Myanmar one of the poorest places on earth. But today, on this spot along the border with Thailand, a small city has emerged like a mirage.",2025-02-06,BBC,https://www.bbc.com/news/articles/c04nx1vnw17o,urban planning
"Lasers, ladders and a leap: Photos of the week",A selection of news photographs from around the world. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites.,2025-02-08,BBC,https://www.bbc.com/news/articles/c0rq24090glo,photography
16 things Trump and team did this week,"The third week of Donald Trump's second term has been marked by more major action from the US president and his team. From announcing US goals on the future of Gaza and massively slashing the US agency for foreign aid to intervening in a golf dispute and banning transgender women from female sports competitions, Trump, his adviser Elon Musk and the rest of his team have pressed on with their agenda. There's a lot to keep up with - so here's a reminder of 15 moves this week. At a joint press conference with Israeli Prime Minister Benjamin Netanyahu at the White House on Tuesday, Trump said the US would ""take over"" and ""own"" Gaza, resettling its Palestinian population in the process.",2025-02-08,BBC,https://www.bbc.com/news/articles/cjdep9j31l8o,politics
Bridget Jones: Life lessons she taught Gen Z from self-acceptance to the power of granny pants,"Your 20s are a whirlwind of bad dates, career crises, and wondering if you'll ever really get your life together. Enter Bridget Jones, the queen of chaotic charm, who has been stumbling through life lessons since before many of us can remember. Despite the original Bridget Jones's Diary book being released in 1996 and the film in 2001, it seems the floundering and flawed heroine has captivated the hearts of Gen Z, who weren't born when Helen Fielding's novel was first published. Fielding says she finds it ""comforting"" that women in their 20s have a real interest in Bridget’s trials and tribulations.",2025-02-08,BBC,https://www.bbc.com/news/articles/cvg904lypg4o,culture
Trump signs executive order targeting South Africa over land law,"US President Donald Trump has signed an executive order freezing financial aid to South Africa, after threatening to do so earlier this week. Trump said he was bringing in the order because of South Africa's new land law, which he says is violating people's rights, and also because of its international court case accusing Israel of genocide. It escalates a dispute between the two countries nearly a week after Trump threatened to cut funding without citing evidence, that ""South Africa is confiscating land"" and ""certain classes of people"" were being treated ""very badly"". Trump's close adviser Elon Musk, who was born in South Africa, also joined in the criticism asking on X why Ramaphosa had ""openly racist ownership laws"".",2025-02-08,BBC,https://www.bbc.com/news/articles/clykenglv32o,politics
ICC: Dozens of member states back top criminal court after Trump sanctions,"Dozens of countries have expressed ""unwavering support"" for the International Criminal Court (ICC) after US President Donald Trump imposed sanctions on its staff. A majority of member states, including the UK, Germany and France, said that the ICC was ""a vital pillar of the international justice system"". Trump announced the sanctions after hosting Israel's Prime Minister Benjamin Netanyahu - the first foreign leader to visit him since returning to power. Last year, the ICC issued an arrest warrant for Netanyahu over alleged war crimes in Gaza - which Israel denies - as well as a Hamas commander.",2025-02-07,BBC,https://www.bbc.com/news/articles/cx2p19l24g2o,international relations
Baltic states making historic switch away from Russian power,"More than three decades after leaving the Soviet Union, Estonia, Latvia, and Lithuania have begun to unplug from Russia's electricity grid and join the EU's network. The two-day process began on Saturday morning, with residents told to charge their devices, stock up on food and water, and prepare as if severe weather is forecast. Many have been told not to use lifts - while in some areas traffic lights will be turned off. A giant, specially-made clock, will count down the final seconds before the transition at a landmark ceremony in Lithuania's capital on Sunday, attended by EU chief Ursula von der Leyen.",2025-02-08,BBC,https://www.bbc.com/news/articles/c627d55v07go,energy
Trudeau says Trump threat to annex Canada 'is a real thing',"Canada's outgoing Prime Minister Justin Trudeau has told a group of business leaders he believes President Donald Trump might be serious about annexing his country. Trudeau suggested Trump has floated the idea of taking over Canada and making it the ""51st state"" because he wants to access the country's critical minerals. ""Mr Trump has it in mind that the easiest way to do it is absorbing our country and it is a real thing,"" the prime minister said. His comments were made behind closed doors at a Canada-US Economic Summit in Toronto, but were captured in part by a microphone and were reported on by several Canadian media outlets.",2025-02-07,BBC,https://www.bbc.com/news/articles/czx82j5wd8vo,politics
"State Department announces $7 billion arms sale to Israel, circumventing review process | CNN Politics","The State Department on Friday announced a $7 billion arms sale to Israel , circumventing the congressional review process, according to Rep. Gregory Meeks, the top Democrat on the House Foreign Affairs Committee. The announcement, which includes thousands of Hellfire missiles and bombs, comes days after Israeli Prime Minister Benjamin Netanyahu met President Donald Trump and other top administration officials in Washington, DC. Netanyahu was the first foreign leader to meet with Trump at the White House in his second term.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/politics/us-israel-arms-sale-circumvent-review-process/index.html,foreign affairs
Sweden to tighten gun laws after mass shooting at school | CNN,"Sweden’s right-wing government said on Friday it would seek to tighten gun laws in the wake of the country’s deadliest mass shooting at an adult education center where the attacker appeared to have used several of his own licensed rifles. Ten people were shot dead at the Campus Risbergska school in Orebro on Tuesday, before the man believed to be the perpetrator - identified by a Reuters source and Swedish media as Rickard Andersson, a 35-year-old Swedish recluse - turned a weapon on himself. Police confirmed on Friday that the suspected shooter was a 35-year-old man, and said they had completed the identification of all the victims, although they did not release any names. Seven women and four men between 28 and 68 years of age died in Tuesday’s attack, including the suspect, police said in a statement.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/europe/sweden-gun-laws-after-school-shooting-intl-latam/index.html,mass shooting
Grenfell Tower: UK announces plans to demolish shell tower block almost eight years after fire that killed 72 | CNN,"The UK government on Friday announced plans to dismantle the remains of London’s Grenfell Tower, almost eight years after the deadliest fire in Britain since World War II swept through the high-rise apartment building, killing 72 people. Some of those who lost loved ones in the fire that broke out in the early morning hours of June 14, 2017, have criticized the decision because they wanted to preserve the building’s charred skeleton as a monument to those who died. But the government said that redeveloping the site would help the community heal by removing the remains of the 24-story building, which looms over the North Kensington neighborhood in west London, providing a constant reminder of the tragedy. “Grenfell Tower will be carefully taken down to the ground,″ the government said in a statement.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/uk/grenfell-tower-uk-demolish-intl/index.html,urban planning
‘Islands in the Sky’: High-rise bathing ponds and waterfalls design to transform Dubai’s skyline | CNN,"Dubai is famous for its attention-grabbing architecture, whether it’s the world’s tallest building, the Burj Khalifa , or the actual “ World ” — an archipelago of 300 man-made islands in the shape of, as its name suggests, the world. And now, a new project by Therme Group, a global developer of wellbeing resorts, promises to transform the skyline of the United Arab Emirates’ biggest city even further. Rising to a height of 100 meters (328 feet), “Therme Dubai – Islands in the Sky” will feature botanical gardens suspended from the air, cascading pools filled with restorative thermal and mineral waters as well as spaces for cultural and social events. Designed by Diller Scofidio + Renfro (DS+R), the structure will sit in the city’s Zabeel Park, beside the Royal Palace.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/travel/therme-dubai-islands-in-the-sky-project/index.html,architecture
Google’s AI-generated Super Bowl cheese ad has some holes | CNN Business,"Markets Hot Stocks Fear & Greed Index Latest Market News Hot Stocks One of Google’s Super Bowl ads features a Wisconsin cheese market owner who uses the company’s Gemini AI tool to write product descriptions. But cheese fans quickly caught a hole in a previous version last week. The AI-generated copy in the commercial claimed that Gouda accounts “for 50 to 60 percent of the world’s consumption.” An X user quickly pointed out that that’s incorrect. (“Cheddar & mozzarella would like a word,” the user added.) Though widely used since the release of OpenAI’s ChatGPT in late 2022, generative AI still is prone to churning out inaccurate and oftentimes wacky results.",2025-02-06,CNN,https://www.cnn.com/2025/02/06/business/google-ai-generated-super-bowl-cheese-ad/index.html,technology
Does my child have an anxiety disorder? Here are the signs parents should look out for | CNN,"Get inspired by a weekly roundup on living well, made simple. Sign up for CNN’s Life, But Better newsletter for information and tools designed to improve your well-being . It may have been monsters under the bed, robbers breaking into the house or ghosts lurking in the darkness sending shivers down your spine when you were young. Many people might vividly remember their most troubling childhood fears, but they tend to outgrow the worries that once caused sleepless nights.",2025-02-05,CNN,https://www.cnn.com/2025/02/05/health/childhood-fears-anxiety-phobias-wellness/index.html,lifestyle
"Crystal Dunn: USWNT star signed for PSG last week. Now, she’s learning French from her two-year-old | CNN","In one way, Crystal Dunn has done all this before. The American’s transfer to Paris Saint-Germain , which was completed on January 31, is not the first time she has moved abroad to play for a European giant – she was signed by Chelsea in 2017 and won the Women’s Super League in her only season in England. But, in another way, this is entirely new to her. That’s because, in 2022, she achieved something even more important than winning the World Cup in 2019, or gold at the Paris Olympics in 2024 – she became a mother.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/sport/crystal-dunn-paris-saint-germain-spt-intl/index.html,sports
"Two tourists died in Sri Lanka after hostel fumigated for bedbugs, police say | CNN","Two tourists have died from suspected pesticide poisoning after their hostel in Sri Lanka was fumigated for bedbugs , Britain’s PA Media news agency has reported. Ebony McIntosh, a 24-year-old digital marketing and social media manager from the English city of Derby, and 26-year-old Nadine Raguse from Germany were both staying in the Miracle Colombo City hostel in the Sri Lankan capital, PA reported Sri Lanka Police as saying on Thursday. They both fell ill after a room at the hostel was fumigated to treat bedbugs, Sri Lanka Police spokesman Buddhika Manatunga told PA, and McIntosh was hospitalized on Saturday. Officers are investigating whether the two women were poisoned by pesticides, the Manatunga said.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/asia/tourists-sri-lanka-bedbugs-deaths-scli-intl/index.html,crime
Time magazine’s provocative cover puts Elon Musk behind Trump’s desk | CNN Business,"Markets Hot Stocks Fear & Greed Index Latest Market News Hot Stocks In a provocative move that could be aimed at stoking President Donald Trump’s ire, Time magazine’s latest print cover features Elon Musk behind the Resolute Desk in the Oval Office. The current edition of the storied biweekly publication, known for its historically significant covers, comes as Trump has given Musk and his Department of Government Efficiency extraordinary power to gut the federal workforce — power that has been stymied, at least to a degree, over the past few days by some lawsuits. The simple cover , which shows Musk, coffee in hand, sandwiched between the presidential desk and the American and presidential flags, is plainly adorned with a red backdrop. The accompanying piece from Simon Schuster and Brian Bennett delves deeper into Musk’s ruthless campaign that has left “millions of government workers [to] find themselves at Musk’s mercy.” “So far, Musk appears accountable to no one but President Trump, who handed his campaign benefactor a sweeping mandate to bring the government in line with his agenda.,” Schuster and Bennett wrote.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/media/time-magazine-elon-musk-cover-trump/index.html,politics
Trump says China ‘operates’ the Panama Canal – how deep are Beijing’s ties to the key waterway? | CNN,"Editor’s Note: Sign up for CNN’s Meanwhile in China newsletter which explores what you need to know about the country’s rise and how it impacts the world. Donald Trump has begun his second term as president by ramping up pressure on Panama – threatening to “take back” the Panama Canal and accusing the country of ceding control of the critical waterway to a US rival: China. “Above all, China is operating the Panama Canal. And we didn’t give it to China.",2025-02-07,CNN,https://www.cnn.com/2025/02/07/china/panama-canal-china-trump-explainer-intl-hnk/index.html,politics
This AI technology was supposed to detect guns in school. Here’s what happened outside Nashville | CNN,"A Nashville school district invested about $1 million in AI gun identification software, the school district said, leaving some to wonder what went wrong in detecting a school shooter in the halls. More than a week ago, 17-year-old Solomon Henderson carried out a shooting inside Antioch High School in suburban Nashville, killing a classmate and wounding another. Henderson died after turning the gun on himself, police said. Related video ‘She was my girl’: Aunt tearfully describes student killed in school shooting The gun detection system at the school failed to detect Henderson’s weapon during the January 22 shooting because he was too far away from the surveillance cameras used to identify a weapon and activate an alarm, according to district officials.",2025-02-01,CNN,https://www.cnn.com/2025/02/01/us/ai-gun-detection-software-antioch-school/index.html,education
